freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
340.0,29.412,1.01e-10,1.17e-09,1.11e-05,0.000129,0.0,0.0,1.11e-05,0.000129,0.00166,0.99999
342.0,29.24,1.06e-10,1.24e-09,1.12e-05,0.000131,0.0,0.0,1.12e-05,0.000131,0.00168,0.99999
344.0,29.07,1.11e-10,1.31e-09,1.13e-05,0.000133,0.0,0.0,1.13e-05,0.000133,0.0017,0.99999
346.0,28.902,1.15e-10,1.38e-09,1.13e-05,0.000136,0.0,0.0,1.13e-05,0.000136,0.00172,0.99999
348.0,28.736,1.21e-10,1.46e-09,1.14e-05,0.000138,0.0,0.0,1.14e-05,0.000138,0.00175,0.99999
350.0,28.571,1.26e-10,1.54e-09,1.15e-05,0.00014,0.0,0.0,1.15e-05,0.00014,0.00177,0.99999
352.0,28.409,1.32e-10,1.63e-09,1.15e-05,0.000143,0.0,0.0,1.15e-05,0.000143,0.00179,0.99999
354.0,28.249,1.38e-10,1.72e-09,1.16e-05,0.000145,0.0,0.0,1.16e-05,0.000145,0.00182,0.99999
356.0,28.09,1.44e-10,1.82e-09,1.16e-05,0.000148,0.0,0.0,1.16e-05,0.000148,0.00184,0.99999
358.0,27.933,1.5e-10,1.92e-09,1.17e-05,0.00015,0.0,0.0,1.17e-05,0.00015,0.00186,0.99998
360.0,27.778,1.57e-10,2.03e-09,1.18e-05,0.000152,0.0,0.0,1.18e-05,0.000152,0.00189,0.99998
362.0,27.624,1.64e-10,2.15e-09,1.18e-05,0.000155,0.0,0.0,1.18e-05,0.000155,0.00191,0.99998
364.0,27.473,1.72e-10,2.27e-09,1.19e-05,0.000157,0.0,0.0,1.19e-05,0.000157,0.00193,0.99998
366.0,27.322,1.79e-10,2.4e-09,1.19e-05,0.00016,0.0,0.0,1.19e-05,0.00016,0.00196,0.99998
368.0,27.174,1.87e-10,2.54e-09,1.2e-05,0.000162,0.0,0.0,1.2e-05,0.000162,0.00198,0.99998
370.0,27.027,1.96e-10,2.68e-09,1.2e-05,0.000165,0.0,0.0,1.2e-05,0.000165,0.00201,0.99998
372.0,26.882,2.04e-10,2.83e-09,1.21e-05,0.000167,0.0,0.0,1.21e-05,0.000167,0.00203,0.99998
374.0,26.738,2.14e-10,2.99e-09,1.22e-05,0.00017,0.0,0.0,1.22e-05,0.00017,0.00205,0.99998
376.0,26.596,2.23e-10,3.16e-09,1.22e-05,0.000173,0.0,0.0,1.22e-05,0.000173,0.00208,0.99998
378.0,26.455,2.33e-10,3.33e-09,1.23e-05,0.000175,0.0,0.0,1.23e-05,0.000175,0.0021,0.99998
380.0,26.316,2.44e-10,3.52e-09,1.23e-05,0.000178,0.0,0.0,1.23e-05,0.000178,0.00213,0.99998
382.0,26.178,2.55e-10,3.72e-09,1.24e-05,0.000181,0.0,0.0,1.24e-05,0.000181,0.00215,0.99998
384.0,26.042,2.67e-10,3.93e-09,1.24e-05,0.000183,0.0,0.0,1.24e-05,0.000183,0.00218,0.99997
386.0,25.907,2.79e-10,4.15e-09,1.25e-05,0.000186,0.0,0.0,1.25e-05,0.000186,0.0022,0.99997
388.0,25.773,2.91e-10,4.38e-09,1.25e-05,0.000189,0.0,0.0,1.25e-05,0.000189,0.00223,0.99997
390.0,25.641,3.04e-10,4.63e-09,1.26e-05,0.000191,0.0,0.0,1.26e-05,0.000191,0.00225,0.99997
392.0,25.51,3.18e-10,4.89e-09,1.26e-05,0.000194,0.0,0.0,1.26e-05,0.000194,0.00228,0.99997
394.0,25.381,3.33e-10,5.17e-09,1.27e-05,0.000197,0.0,0.0,1.27e-05,0.000197,0.0023,0.99997
396.0,25.253,3.48e-10,5.46e-09,1.27e-05,0.0002,0.0,0.0,1.27e-05,0.0002,0.00233,0.99997
398.0,25.126,3.64e-10,5.77e-09,1.28e-05,0.000202,0.0,0.0,1.28e-05,0.000202,0.00235,0.99997
400.0,25.0,3.8e-10,6.08e-09,1.28e-05,0.000205,0.0,0.0,1.28e-05,0.000205,0.00238,0.99996
402.0,24.876,3.98e-10,6.43e-09,1.29e-05,0.000208,0.0,0.0,1.29e-05,0.000208,0.00241,0.99996
404.0,24.752,4.17e-10,6.81e-09,1.29e-05,0.000211,0.0,0.0,1.29e-05,0.000211,0.00243,0.99996
406.0,24.631,4.37e-10,7.2e-09,1.3e-05,0.000214,0.0,0.0,1.3e-05,0.000214,0.00246,0.99996
408.0,24.51,4.57e-10,7.6e-09,1.3e-05,0.000217,0.0,0.0,1.3e-05,0.000217,0.00248,0.99996
410.0,24.39,4.77e-10,8.02e-09,1.31e-05,0.00022,0.0,0.0,1.31e-05,0.00022,0.00251,0.99996
412.0,24.272,5e-10,8.49e-09,1.31e-05,0.000222,0.0,0.0,1.31e-05,0.000222,0.00254,0.99995
414.0,24.155,5.24e-10,8.98e-09,1.32e-05,0.000225,0.0,0.0,1.32e-05,0.000225,0.00256,0.99995
416.0,24.038,5.49e-10,9.5e-09,1.32e-05,0.000228,0.0,0.0,1.32e-05,0.000228,0.00259,0.99995
418.0,23.923,5.74e-10,1e-08,1.32e-05,0.000231,0.0,0.0,1.32e-05,0.000231,0.00262,0.99995
420.0,23.81,6e-10,1.06e-08,1.33e-05,0.000234,0.0,0.0,1.33e-05,0.000234,0.00264,0.99994
422.0,23.697,6.29e-10,1.12e-08,1.33e-05,0.000237,0.0,0.0,1.33e-05,0.000237,0.00267,0.99994
424.0,23.585,6.61e-10,1.19e-08,1.34e-05,0.00024,0.0,0.0,1.34e-05,0.00024,0.0027,0.99994
426.0,23.474,6.92e-10,1.26e-08,1.34e-05,0.000243,0.0,0.0,1.34e-05,0.000243,0.00272,0.99994
428.0,23.364,7.24e-10,1.33e-08,1.34e-05,0.000246,0.0,0.0,1.34e-05,0.000246,0.00275,0.99993
430.0,23.256,7.58e-10,1.4e-08,1.35e-05,0.000249,0.0,0.0,1.35e-05,0.000249,0.00278,0.99993
432.0,23.148,7.96e-10,1.48e-08,1.35e-05,0.000252,0.0,0.0,1.35e-05,0.000252,0.0028,0.99993
434.0,23.041,8.36e-10,1.57e-08,1.36e-05,0.000256,0.0,0.0,1.36e-05,0.000256,0.00283,0.99992
436.0,22.936,8.77e-10,1.67e-08,1.36e-05,0.000259,0.0,0.0,1.36e-05,0.000259,0.00286,0.99992
438.0,22.831,9.19e-10,1.76e-08,1.36e-05,0.000262,0.0,0.0,1.36e-05,0.000262,0.00288,0.99992
440.0,22.727,1.01e-09,1.95e-08,1.37e-05,0.000265,0.0,0.0,1.37e-05,0.000265,0.00291,0.99991
442.0,22.624,1.27e-09,2.49e-08,1.37e-05,0.000268,0.0,0.0,1.37e-05,0.000268,0.00294,0.99989
444.0,22.523,1.48e-09,2.93e-08,1.38e-05,0.000271,0.0,0.0,1.38e-05,0.000271,0.00297,0.99987
446.0,22.422,1.67e-09,3.33e-08,1.38e-05,0.000274,0.0,0.0,1.38e-05,0.000274,0.00299,0.99986
448.0,22.321,1.89e-09,3.8e-08,1.38e-05,0.000277,0.0,0.0,1.38e-05,0.000277,0.00302,0.99984
450.0,22.222,2.13e-09,4.32e-08,1.39e-05,0.000281,0.0,0.0,1.39e-05,0.000281,0.00305,0.99982
452.0,22.124,2.39e-09,4.88e-08,1.39e-05,0.000284,0.0,0.0,1.39e-05,0.000284,0.00308,0.9998
454.0,22.026,2.64e-09,5.44e-08,1.39e-05,0.000287,0.0,0.0,1.39e-05,0.000287,0.00311,0.99978
456.0,21.93,2.86e-09,5.95e-08,1.4e-05,0.00029,0.0,0.0,1.4e-05,0.00029,0.00313,0.99976
458.0,21.834,3.04e-09,6.38e-08,1.4e-05,0.000293,0.0,0.0,1.4e-05,0.000293,0.00316,0.99974
460.0,21.739,3.15e-09,6.67e-08,1.4e-05,0.000297,0.0,0.0,1.4e-05,0.000297,0.00319,0.99973
462.0,21.645,2.98e-09,6.35e-08,1.41e-05,0.0003,0.0,0.0,1.41e-05,0.0003,0.00322,0.99975
464.0,21.552,2.91e-09,6.27e-08,1.41e-05,0.000303,0.0,0.0,1.41e-05,0.000303,0.00325,0.99975
466.0,21.459,3.05e-09,6.62e-08,1.41e-05,0.000306,0.0,0.0,1.41e-05,0.000307,0.00327,0.99974
468.0,21.368,2.98e-09,6.54e-08,1.41e-05,0.00031,0.0,0.0,1.41e-05,0.00031,0.0033,0.99975
470.0,21.277,1.43e-08,3.16e-07,1.42e-05,0.000313,0.0,0.0,1.42e-05,0.000313,0.00333,0.99884
472.0,21.186,1.59e-08,3.54e-07,1.42e-05,0.000316,0.0,0.0,1.42e-05,0.000316,0.00336,0.99871
474.0,21.097,3.93e-09,8.84e-08,1.42e-05,0.00032,0.0,0.0,1.42e-05,0.00032,0.00339,0.99967
476.0,21.008,3.89e-09,8.81e-08,1.43e-05,0.000323,0.0,0.0,1.43e-05,0.000323,0.00342,0.99967
478.0,20.921,5.22e-09,1.19e-07,1.43e-05,0.000326,0.0,0.0,1.43e-05,0.000326,0.00344,0.99957
480.0,20.833,7.27e-09,1.67e-07,1.43e-05,0.00033,0.0,0.0,1.43e-05,0.00033,0.00347,0.99941
482.0,20.747,7.17e-09,1.67e-07,1.43e-05,0.000333,0.0,0.0,1.43e-05,0.000333,0.0035,0.99941
