freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
1120.0,8.929,2.21e-06,0.000278,4.88e-06,0.000612,0.0,0.0,7.09e-06,0.000889,0.00958,0.64002
1122.0,8.913,2.24e-06,0.000282,4.81e-06,0.000606,0.0,0.0,7.05e-06,0.000888,0.00959,0.63532
1124.0,8.897,1.12e-06,0.000142,6.28e-06,0.000793,0.0,0.0,7.4e-06,0.000935,0.00961,0.83178
1126.0,8.881,9.05e-07,0.000115,6.5e-06,0.000824,0.0,0.0,7.4e-06,0.000939,0.00962,0.86467
1128.0,8.865,8.78e-07,0.000112,6.5e-06,0.000827,0.0,0.0,7.38e-06,0.000938,0.00964,0.8681
1130.0,8.85,9.5e-07,0.000121,6.38e-06,0.000815,0.0,0.0,7.33e-06,0.000936,0.00965,0.85619
1132.0,8.834,1.14e-06,0.000146,6.13e-06,0.000785,0.0,0.0,7.27e-06,0.000931,0.00967,0.82573
1134.0,8.818,2.49e-06,0.000321,4.31e-06,0.000555,0.0,0.0,6.81e-06,0.000875,0.00968,0.58331
1136.0,8.803,3.96e-06,0.000511,2.09e-06,0.000269,0.0,0.0,6.05e-06,0.00078,0.00969,0.28351
1138.0,8.787,2.74e-06,0.000354,3.85e-06,0.000498,0.0,0.0,6.58e-06,0.000853,0.00971,0.52584
1140.0,8.772,1.3e-06,0.000169,5.81e-06,0.000755,0.0,0.0,7.11e-06,0.000924,0.00972,0.7972
1142.0,8.757,1.15e-06,0.00015,5.96e-06,0.000777,0.0,0.0,7.1e-06,0.000926,0.00974,0.82037
1144.0,8.741,9.52e-07,0.000125,6.15e-06,0.000805,0.0,0.0,7.1e-06,0.00093,0.00975,0.85115
1146.0,8.726,9.3e-07,0.000122,6.15e-06,0.000807,0.0,0.0,7.08e-06,0.000929,0.00976,0.85399
